{'local_model_0': 0.6144429483015157, 'local_model_1': 0.8192342129061148, 'local_model_2': 0.6750950747303336, 'local_model_3': 0.7059432817506899, 'local_model_4': 0.7216408475224597, 'local_model_5': 0.7941545277123557, 'local_model_6': 0.6690051951775, 'local_model_7': 0.665149533052506, 'local_model_8': 0.6250684397996489, 'local_model_9': 0.6826468270532836}
{'local_model_0': 0.7533329320758679, 'local_model_1': 0.7277625526192727, 'local_model_2': 0.594892388760171, 'local_model_3': 0.5161258363951987, 'local_model_4': 0.558618869138569, 'local_model_5': 0.5377929020394547, 'local_model_6': 0.7787155660251007, 'local_model_7': 0.5222687852871445, 'local_model_8': 0.5590737268550277, 'local_model_9': 0.7195411097850191}
{'local_model_0': 0.5931768411457238, 'local_model_1': 0.6818745276289258, 'local_model_2': 0.7872576307738688, 'local_model_3': 0.6070383830040005, 'local_model_4': 0.48805392063900505, 'local_model_5': 0.6244052173669438, 'local_model_6': 0.5453821226331356, 'local_model_7': 0.6741902260657533, 'local_model_8': 0.5554578116244475, 'local_model_9': 0.6952292594328674}
{'local_model_0': 0.5848038507053973, 'local_model_1': 0.5150625721047538, 'local_model_2': 0.5929245254685254, 'local_model_3': 0.5815210679685283, 'local_model_4': 0.741788116235972, 'local_model_5': 0.5870479207147699, 'local_model_6': 0.5949498912235321, 'local_model_7': 0.61856082509444, 'local_model_8': 0.43901936521183654, 'local_model_9': 0.7150963896238534}
{'local_model_0': 0.6980198814240244, 'local_model_1': 0.6427679584804004, 'local_model_2': 0.7900934898357357, 'local_model_3': 0.9277308173807299, 'local_model_4': 0.9214153839111127, 'local_model_5': 0.6688358156803694, 'local_model_6': 0.8137955518200887, 'local_model_7': 0.6672012807225569, 'local_model_8': 0.6955894828655124, 'local_model_9': 0.7826363644373887}
{'local_model_0': 0.5895371602206503, 'local_model_1': 0.7267320875027629, 'local_model_2': 0.6833256521796355, 'local_model_3': 0.6674266826316015, 'local_model_4': 0.7910816592703853, 'local_model_5': 0.8282480689432202, 'local_model_6': 0.6336351399581323, 'local_model_7': 0.6397727104988021, 'local_model_8': 0.7222930768107392, 'local_model_9': 0.6431422231096879}
{'local_model_0': 0.7499996800571779, 'local_model_1': 0.6622524657188075, 'local_model_2': 0.7520439710177251, 'local_model_3': 0.4816602369324339, 'local_model_4': 0.6311399503585617, 'local_model_5': 0.49565733689192903, 'local_model_6': 0.6504799047076649, 'local_model_7': 0.7278697612680487, 'local_model_8': 0.6790448015168721, 'local_model_9': 0.6159434762653486}
{'local_model_0': 0.6916922411094815, 'local_model_1': 0.6729137163458463, 'local_model_2': 0.5254249753147507, 'local_model_3': 0.581513560141613, 'local_model_4': 0.5475004036240967, 'local_model_5': 0.5529217018712056, 'local_model_6': 0.2736156090605057, 'local_model_7': 0.600530185080114, 'local_model_8': 0.5455981363071364, 'local_model_9': 0.7139548239563146}
{'local_model_0': 0.5491281403237767, 'local_model_1': 0.6149016601983041, 'local_model_2': 0.5733172403683573, 'local_model_3': 0.6247245169859181, 'local_model_4': 0.6413529730246371, 'local_model_5': 0.6246112642515196, 'local_model_6': 0.6613468168596247, 'local_model_7': 0.6035830431629571, 'local_model_8': 0.5406682454766925, 'local_model_9': 0.5460902679351828}
{'local_model_0': 0.6532204064653501, 'local_model_1': 0.8170321331004602, 'local_model_2': 0.529169534190989, 'local_model_3': 0.5317407909206692, 'local_model_4': 0.7524305266449546, 'local_model_5': 0.4614213811808695, 'local_model_6': 0.7624649457490782, 'local_model_7': 0.6000783173978663, 'local_model_8': 0.7840995048691074, 'local_model_9': 0.7122948888970099}
